,source_taxon_name,latitude,longitude,ISO_A2,NAME_ES,searched_taxon_name,target_taxon_name,country_name,Estatus.Taxonómico,Nombre.Válido,Autoridad,Rango.Taxonómico,Familia,Forma.biológica
1,Xylocopa sonorina,37.428855,-122.1179667,US,Estados Unidos,Abelia,Abelia,Estados Unidos,Aceptado,Abelia,R. Br.,Género,Caprifoliaceae,Arbusto
6,Xylocopa sonorina,37.6733147,-121.7541234,US,Estados Unidos,Abelia,Abelia,Estados Unidos,Aceptado,Abelia,R. Br.,Género,Caprifoliaceae,Arbusto
7,Xylocopa sonorina,37.33456458,-121.9225164,US,Estados Unidos,Abelia,Abelia,Estados Unidos,Aceptado,Abelia,R. Br.,Género,Caprifoliaceae,Arbusto
9,Xylocopa sonorina,37.992195,-121.7395667,US,Estados Unidos,Abelia × grandiflora,Abelia × grandiflora,Estados Unidos,Aceptado,Abelia × grandiflora,(Rovelli ex André) Rehder,Híbrido,Caprifoliaceae,Arbusto
10,Xylocopa sonorina,37.33506808,-121.9228711,US,Estados Unidos,Abelia × grandiflora,Abelia × grandiflora,Estados Unidos,Aceptado,Abelia × grandiflora,(Rovelli ex André) Rehder,Híbrido,Caprifoliaceae,Arbusto
42,Xylocopa sonorina,38.30487818,-122.2733824,US,Estados Unidos,Abutilon grandiflorum,Abutilon grandiflorum,Estados Unidos,Aceptado,Abutilon grandiflorum,G. Don,Especie,Malvaceae,Arbusto|Herbácea
43,Xylocopa sonorina,37.19471933,-121.7376653,US,Estados Unidos,Abutilon palmeri,Abutilon palmeri,Estados Unidos,Aceptado,Abutilon palmeri ,A. Gray,Especie,Malvaceae,Arbusto
640,Xylocopa sonorina,37.347561,-121.9515333,US,Estados Unidos,Aeonium,Aeonium,Estados Unidos,Aceptado,Aeonium,Webb & Berthel.,Género,Crassulaceae,Arbusto|Herbácea
655,Xylocopa sonorina,37.48118667,-122.154275,US,Estados Unidos,Aesculus,Aesculus,Estados Unidos|Japón,Aceptado,Aesculus,L.,Género,Sapindaceae,Árbol|Arbusto
663,Xylocopa sonorina,37.92311808,-122.0755124,US,Estados Unidos,Aesculus californica,Aesculus californica,Estados Unidos,Aceptado,Aesculus californica,(Spach) Nutt.,Especie,Sapindaceae,Árbol|Arbusto
669,Xylocopa sonorina,37.961405,-122.052957,US,Estados Unidos,Aesculus californica,Aesculus californica,Estados Unidos,Aceptado,Aesculus californica,(Spach) Nutt.,Especie,Sapindaceae,Árbol|Arbusto
768,Xylocopa sonorina,38.38075556,-122.7145917,US,Estados Unidos,Agastache,Agastache,Canadá|Estados Unidos,Aceptado,Agastache,J. Clayton ex Gronov.,Género,Lamiaceae,Herbácea
790,Xylocopa sonorina,37.47001667,-122.3104633,US,Estados Unidos,Agastache,Agastache,Canadá|Estados Unidos,Aceptado,Agastache,J. Clayton ex Gronov.,Género,Lamiaceae,Herbácea
